book	id	tags
book,id,tags
0001AbuTalibCabdManaf.Diwan,JK007501,_SHICR_JAHILI;_SHICR
0001AwsIbnHajar.Diwan,JK007502,_SHICR_JAHILI;_SHICR
0001CalqamaFahl.Diwan,JK007522,_SHICR_JAHILI;_SHICR
0001CamrIbnKulthum.Diwan,JK007524,_SHICR_JAHILI;_SHICR
0001CamrIbnMalik.Diwan,JK007525,_SHICR_JAHILI;_SHICR
0001CamrIbnQumaya.Diwan,JK007523,_SHICR_JAHILI;_SHICR
0001CantaraIbnShaddad.Diwan,JK007526,_SHICR_JAHILI;_SHICR
0001CurwaIbnWard.Diwan,JK007521,_SHICR_JAHILI;_SHICR
0001HajibIbnMudallil.Diwan,JK007515,_SHICR_JAHILI;_SHICR
0001HarithIbnHilliza.Diwan,JK007505,_SHICR_JAHILI;_SHICR
0001HatimTai.Diwan,JK007514,_SHICR_JAHILI;_SHICR
0001ImruQays.Diwan,JK007512,_SHICR_JAHILI;_SHICR
0001ImruQaysKindi.Diwan,Shamela0027112,_ADAB;_BALAGHA
0001KitabAllah.QuranKarim,Shia000001,_QURAN
0001LaqitIbnYacmur.Diwan,JK007528,_SHICR_JAHILI;_SHICR
0001MuhalhilIbnRabica.Diwan,JK007529,_SHICR_JAHILI;_SHICR
0001MuthaqqibCabdi.Diwan,JK007510,_SHICR_JAHILI;_SHICR
0001NabighaDhubyani.Diwan,JK007511,_SHICR_JAHILI;_SHICR
0001QaysIbnKhatim.Diwan,JK007527,_SHICR_JAHILI;_SHICR
0001SalamaIbnJandal.Diwan,JK007517,_SHICR_JAHILI;_SHICR
0001SamawalIbnCadiya.Diwan,JK007508,_SHICR_JAHILI;_SHICR
0001Shanfara.Diwan,JK007509,_SHICR_JAHILI;_SHICR
0001SulaykIbnSulaka.Diwan,JK007507,_SHICR_JAHILI;_SHICR
0001TaabbataSharran.Diwan,JK007513,_SHICR_JAHILI;_SHICR
0001TarafaIbnCabd.Diwan,JK007518,CENT0100;_ADAB;_BALAGHA;_SHICR_JAHILI;_SHICR
0001TarafaIbnCabd.Diwan,Shamela0036422,CENT0100;_ADAB;_BALAGHA;_SHICR_JAHILI;_SHICR
0001TufaylGhanawi.Diwan,JK007519,_SHICR_JAHILI;_SHICR
0001ZuhayrIbnAbiSulma.Diwan,JK007516,_SHICR_JAHILI;_SHICR
0005Hadira.Diwan,JK007504,_SHICR_JAHILI;_SHICR
0007MaymunIbnQaysAcsha.Diwan,JK007503,_SHICR_JAHILI;_SHICR
0011CamirIbnTufayl.Diwan,JK007520,_SHICR_JAHILI;_SHICR
0021CamrZubaydi.Diwan,JK007536,_MUKHADRAM;_SHICR
0022ShammakhIbnDirar.Diwan,JK007533,_MUKHADRAM;_SHICR
